tag,num_questions,description
objective-j,81,Objective-J is a programming language for web development and is used to create web applications in the Cappuccino front-end web framework.
ocaml,6401,"OCaml is a strict statically-typed functional programming language, focusing on expressiveness, correctness, and efficiency."
octave,4592,"GNU Octave is a free and open-source mathematical software package and scripting language. The scripting language is intended to be compatible with MATLAB, but the two packages are not interchangeable. Don’t use both the [matlab] and [octave] tags, unless the question is explicitly about the similarities or differences between the two."
opa,194,"Opa is an open source programming language for both backend and frontend web development. Opa therefore provides a unified syntax and semantics for writing all aspects of a web application: client-side, server-side and database queries.   But it’s not only about expressiveness: Opa also features a unique type system that provides strong static typing from the client UI to the MongoDB queries."
opal,19,"OPAL is a high-level interface for low-level physics engines used in games, robotics simulations, and other 3D applications"
opencl,5251,"OpenCL (Open Computing Language) is a framework for writing programs that execute across heterogeneous platforms consisting of CPUs, GPUs, and other processors."
opl,275,Optimization Programming Language (OPL) is an algebraic modeling language to describe models of optimization and mathematical programming. It is part of IBM ILOG CPLEX Optimization Studio.
orc,390,"The Optimized Row Columnar (ORC) file format provides a highly efficient way to store Hive data. It was designed to overcome limitations of the other Hive file formats. Using ORC files improves performance when Hive is reading, writing, and processing data."
oxygene,104,"Oxygene is a general-purpose object-oriented programming language based on Pascal. Oxygene can be compiled to the Microsoft Common Language Runtime (.NET and the Mono), Java & Android's Dalvik, as well as the Objective-C runtime."
oz,101,"Oz is a multiparadigm programming language including logic, functional (both lazy and eager), imperative, object-oriented, constraint, distributed, and concurrent programming."
p,1,P is a language for asynchronous event-driven programming written by Microsoft. Questions should include code examples sufficient to reproduce the problem.
p4,2956,"Perforce is a commercial, proprietary, centralized revision control system."
pcf,220,Programmable Command Formats (PCFs) is an IBM technology used for communicating with IBM MQ queue managers.
pdl,56,"PDL (""Perl Data Language"") gives standard Perl the ability to compactly store and speedily manipulate the large N-dimensional data arrays which are the bread and butter of scientific computing."
peoplecode,59,PeopleCode is the proprietary language used by PeopleSoft applications.
perl,65743,"Perl is a procedural, high-level, general-purpose, dynamic programming language, known for its native support of regular expressions and string parsing capabilities. Please use this tag for questions about Perl in general. For things related to the new (but related) language Raku (formerly ""Perl 6""), please use the raku tag. For Perl-style regular expressions in other languages, use the regex tag, or, if they are based on the PCRE library, the pcre tag."
pharo,831,Pharo is an open-source Smalltalk environment. It is a derivative of Squeak and is MIT licensed with some original Apple parts remaining under the Apache 2.0 license.
php,1375443,"PHP is a widely used, high-level, dynamic, object-oriented and interpreted scripting language primarily designed for server-side web development. Used for questions about the PHP language."
pico,31,"PIne message COmposition editor(pico) is part of the Pine email package and was designed to be an easy to learn text editor. Pico can be found on most Unix systems, has a license restriction that prevents it from being distributed with Debian Linux. For this reason, there is a free clone of pico called nano, which has some additional features."
picolisp,6,PicoLisp is a virtual machine architecture and an interpreted programming language.
pike,13,"Pike is an interpreted, object-oriented, dynamic programming language with a syntax similar to C. It includes a powerful modules system that, for instance, has image manipulation, database connectivity and advanced cryptography. It is simple to learn, does not require long compilation passes and has powerful built-in data types allowing simple and fast data manipulation."
plex,66,"Plex Media Server is the back-end media server component of Plex, which is closed source as proprietary software. Introduced in 2009, Plex Media Server is used to host the content and plugins that are then streamed to Plex big screen apps (including Plex Home Theater) and Plex mobile apps, either on the same machine, the same local area network, or over the Internet."
pop-11,2,"POP-11 is a reflective, incrementally compiled programming language with many of the features of an interpreted language. It is the core language of the Poplog programming environment."
portable,1367,Portable code can be run with little to no modification in multiple environments.  Portable applications can be run from e.g. a USB drive without modifying a computer's environment.
postscript,963,"PostScript is a Turing-complete page description programming language, designed and developed by Adobe. There are three major releases: PostScript Level 1, released in 1984. PostScript Level 2 (1991) contained several important improvements. PostScript 3 (1997) is the latest version."
powerbuilder,1229,"Sybase PowerBuilder — programming language and IDE from Sybase.  Very popular in the early 90s before being eclipsed by Visual Studio and failing to provide an adequate solution for web applications.  Outside of StackOverflow, the best resource for PowerBuilder help is the Appeon PowerBuilder Community.  Also possibly of interest:  The International Sybase User Group, PowerBuilder Journal"
powershell,85758,"PowerShell is a cross-platform command line and scripting utility from Microsoft. Use this tag for questions about writing and executing PowerShell scripts ONLY. Programming questions specific to the cross-platform version PowerShell Core (Windows, macOS, and Linux) should be tagged [powershell-core]. Questions about system administration should be asked on Super User or Server Fault."
ppl,135,The Parallel Patterns Library (PPL) is a C++ library included with Microsoft Visual C++ 2010+ that provides an imperative programming model that promotes scalability and ease-of-use for developing concurrent applications.
processing,5987,"Processing is an open source programming language and environment for people who want to create images, animations, interactions, and games."
processing.js,475,"A discontinued (Dec. 2018) JavaScript port of the Processing language API v2. Use this tag for existing Processing.js codebases. For new projects, the Processing.js team recommends using P5js instead."
prolog,11512,Do not use this tag like Prologue and Epilogue. Prolog is the most commonly used logic programming language. It supports non-deterministic programming through chronological backtracking and pattern matching through unification.
promela,147,Process/Protocol Meta Language is a verification modelling language used to verify the logic of parallel systems.
purescript,441,"PureScript is a functional language with strong, static types which compiles to JavaScript."
python,1561862,"Python is a multi-paradigm, dynamically typed, multipurpose programming language. It is designed to be quick to learn, understand, and use, and enforce a clean and uniform syntax. Please note that Python 2 is officially out of support as of 01-01-2020. Still, for version-specific Python questions, add the [python-2.7] or [python-3.x] tag. When using a Python variant  (e.g. Jython, PyPy) or library (e.g. Pandas, Numpy), please include it in the tags."
q,1395,"The Q.js JavaScript promise library. Q catches errors and uses a `then` technique to handle JavaScript callbacks and exceptions. Do *not* use for Angular's $q, use [angular-promise] instead! Also do *not* use for kx System's kdb+/q, use [kdb] or [q-lang] instead! Lastly, this tag should not be used for questions regarding Android 10 - use the [android-10.0] tag instead!"
q#,104,Q# (Q-Sharp) is a domain-specific programming language used for expressing quantum algorithms. It is offered as part of the Quantum Development Kit developed by Microsoft.
qtscript,116,"QtScript is an ECMA262-compatible implementation of JavaScript. It is the successor of QSA (Qt Script For Applications), but is being phased out in recent Qt versions in favour of Google's V8 engine."
r,369798,"R is a free, open-source programming language and software environment for statistical computing, bioinformatics, visualization, and general computing. Please provide minimal and reproducible example(s) along with the desired output. Use `dput()` for data and specify all non-base packages with `library()` calls. Do not embed pictures for data or code, use indented code blocks instead. For statistics related questions, use https://stats.stackexchange.com."
racket,5016,Racket is an extensible multi-paradigm programming language in the Lisp/Scheme family.
raku,1519,For questions relating to the Raku programming language (formerly known as Perl 6).
rc,222,"An ""rc"" file is a file read at startup of a program. It is also the name of the Plan 9 Shell."
reason,324,"Reason is a syntax and toolchain powered by OCaml. Use with [tag:ocaml] for questions relating to the semantics of the language, and with [tag:bucklescript] for questions relating to the JavaScript workflow."
rebol,684,"Rebol is a modern interpreted language where code is data.  It isn't object oriented, but has objects.  It isn't a functional language but has first class functions.  There are virtually no syntax rules or immutable keywords, making it ideal for developing domain-specific ""dialects""."
red,228,"The Red language is inspired by the interpreted language Rebol, but is compiled and hence has a wider range of application...from device drivers to high-level purposes.  It is functional, imperative and symbolic, with prototype-based object support.  Like LISP and Rebol, it is homoiconic and thus its own meta-language.  It is both statically and JIT-compiled to native code, with strong support for concurrency and parallelism (actors, parallel collections)."
rexx,149,REXX is a (most of the time) interpreted programming language developed by IBM in the end of 70's and beginning of 80's.
rpg,199,"DO NOT use this tag for Role Playing Games!! RPG (Report Program Generator) is a high-level programming language (HLL) for business applications. IBM is the creator and primary vendor of RPG, but the language is available from other mainframe and microcomputer manufacturers, including Unisys. Use this tag for older non-ILE versions of RPG from IBM and for non-IBM variants of the language."
rsl,60,"RSL stands for Runtime Shared Libraries, and is a means to externally store assets for Adobe Flash Player applications for reference in multiple applications to save space and bandwidth."
ruby,215936,"Ruby is a multi-platform open-source, dynamic object-oriented interpreted language, created by Yukihiro Matsumoto (Matz) in 1995. The [ruby] tag is for questions related to the Ruby language, including its syntax and its libraries. Ruby on Rails questions should be tagged with [ruby-on-rails]."
rust,18731,"Rust is a systems programming language without a garbage collector focused on three goals: safety, speed, and concurrency. Use this tag for questions about code written in Rust. Use a edition specific tag for questions that refer to code which requires a particular edition, like [rust-2018]. Use more specific tags for subtopics like [rust-cargo] and [rust-macros]."
s-lang,3,"S-Lang is a library designed to allow cross-platform development. It includes features supporting screen display and user input, as well as an embedded interpreter that can be used to make a program extensible."
s,34,S is a statistical programming language
s-plus,25,"S-PLUS was a commercial, object-oriented, implementation of the S programming language owned by TIBCO Software Inc."
s2,8,The s2 tag has no usage guidance.
s3,37545,"Amazon S3 (simple storage service) is an online object storage service from Amazon Web Services. QUESTIONS MUST BE ABOUT PROGRAMMING. Questions about general S3 support, functionality, configuration, etc. are OFF-TOPIC."
sas,12906,"The SAS language is a 4GL that underpins the SAS system, a suite of products centered around data processing and statistical procedures.  For questions about code, please include your code and some data to reproduce your problem, either in datalines/cards statements or using a sashelp dataset like sashelp.class or sashelp.cars."
sasl,341,"SASL is the Simple Authentication and Security Layer, a method for adding authentication support to connection-based protocols."
scala,100942,"Scala is a general-purpose programming language principally targeting the Java Virtual Machine. Designed to express common programming patterns in a concise, elegant, and type-safe way, it fuses both imperative and functional programming styles. Its key features are: an advanced static type system with type inference; function types; pattern-matching; implicit parameters and conversions; operator overloading; full interoperability with Java; concurrency"
scheme,7349,"Scheme is a functional programming language in the Lisp family, closely modeled on lambda calculus with eager (applicative order) evaluation. FOR questions about URL schemes PLEASE USE the tag ""url-scheme""."
scilab,702,"Scilab is a free and open source, cross-platform numerical computational package and a high-level, numerically oriented programming language. It can be used for signal processing, statistical analysis, image enhancement, fluid dynamics simulations, numerical optimization, and modeling and simulation of explicit and implicit dynamical systems."
scratch,161,Scratch is a graphical drag-and-drop language developed by MIT.
sed,24791,"Sed (Stream EDitor) is a command line editor for POSIX environment. Sed processes one or more files according to an editing script and writes the results to standard output. Created at Bell Labs, it has been around since the mid-70s."
self,1299,A keyword used in instance methods to refer to the object on which they are working.
serpent,1,Serpent is a high-level programming language used to write smart contracts in Ethereum.
signal,6337,"A signal is a notification to a process that an event occurred. Signals are sometimes described as software interrupts. Signals are analogous to hardware interrupts in that they interrupt the normal flow of execution of a program; in most cases, it is not possible to predict exactly when a signal will arrive. They are defined in the C standards and extended in POSIX, but many other programming languages/systems provide access to them as well."
simscript,2,"SIMSCRIPT is a free-form, English-like general-purpose simulation language."
simulink,2598,Simulink® is an environment developed by The MathWorks for multidomain simulation and Model-Based Design for dynamic and embedded systems.
smalltalk,1587,"Smalltalk is one of the oldest object-oriented programming languages. It pioneered many aspects modern developers take for granted:   Virtual Machines (Smalltalk is an interpreted language) IDEs Pure object approach (no primitives or keywords at all) Closures (called Blocks) An image (i.e. non-file-based language) Advanced debugging techniques (halting programs on-the-fly, inspection, writing or modifying code on-the-fly)"
sml,1864,Standard ML is a high-level functional language with type inference.
snobol,4,"SNOBOL (StriNg Oriented and symBOlic Language) is a series of computer programming languages developed between 1962 and 1967 at AT&T Bell Laboratories culminating in SNOBOL4. SNOBOL4 (StriNg Oriented and symBOlic Language) is a language for text processing, pattern matching, and much more."
snowball,67,"Snowball is a small language for writing stemming algorithms, used primarily in information retrieval and natural language processing."
solidity,1769,Solidity is a high-level language whose syntax is similar to that of JavaScript and it is designed to compile to code for the Ethereum Virtual Machine.  A contract in the sense of Solidity is a collection of code (its functions) and data (its state) that resides at a specific address on the Ethereum blockchain.
spark,63702,"Apache Spark is an open source distributed data processing engine written in Scala providing a unified API and distributed data sets to users for both batch and streaming processing. Use Cases for Apache Spark often are related to machine/deep learning, graph processing."
speakeasy,7,The speakeasy tag has no usage guidance.
spin,144,"Spin is a popular open-source software tool, that can be used for the formal verification of distributed software systems. The tool was developed at Bell Labs in the original Unix group of the Computing Sciences Research Center, starting in 1980."
sql,564010,"Structured Query Language (SQL) is a language for querying databases. Questions should include code examples, table structure, sample data, and a tag for the DBMS implementation (e.g. MySQL, PostgreSQL, Oracle, MS SQL Server, IBM DB2, etc.) being used. If your question relates solely to a specific DBMS (uses specific extensions/features), use that DBMS's tag instead. Answers to questions tagged with SQL should use ISO/IEC standard SQL."
sqr,58,SQR is a high level language like Basic but with built in SQL capabilities - it became very popular with PeopleSoft in the early 90's and is still a mainstay of that product.  It can run on many platforms and use many databases
squeak,394,"Squeak is a modern, open-source implementation of the Smalltalk language, with a history of being very easy to port across platforms. See https://squeak.org/."
squirrel,34,"Squirrel is a high-level object-oriented light-weight scripting language that's designed to be used in real-time requirements applications, like video games."
stata,3415,"Stata is a commercial, general-purpose statistical software. It is available for Windows, Mac and Unix systems. Stata's capabilities include data management, statistical analysis and graphics.   ------------------------------------------------------------ IMPORTANT: Click 'Learn more' for advice on how to ask high quality Stata-related questions on Stack Overflow."
stateflow,78,StateFlow is a toolbox from MathWorks for development of state machines
subtext,17,The subtext tag has no usage guidance.
supercollider,105,"SuperCollider is an environment and programming language for real time audio synthesis and algorithmic composition. It provides an interpreted object-oriented language which functions as a network client to a state of the art, realtime sound synthesis server."
swift,280591,"Swift is a safe, fast, and expressive general-purpose programming language developed by Apple Inc. for its platforms and Linux. Swift is open-source. Use the tag only for questions about language features, or requiring code in Swift. Use the tags [ios], [ipados], [macos], [watch-os], [tvos], [cocoa-touch], and [cocoa] for (language-agnostic) questions about the platforms or frameworks."
tal,12,"Tandem Application Language (or Transaction Application Language) is procedural language used originally in Tandem Computers (now HP NonStop). It looks similar to a mixture of C and PASCAL. Though not commonly used in open source applications, the TAL was used in Tandem OS and its applications.The knowledge of TAL aids the NS system administrator to code scripts for automating tasks and also some big time applications were written in TAL."
tcl,6790,"Tool Command Language was invented by John Ousterhout as a way to make it easy to write little languages for configuring EDA tools, but it has grown far beyond those humble beginnings to become a general scripting language with built-in asynchronous I/O and Unicode strings while supporting paradigms such as object-oriented programming and coroutines."
teco,1,Text editor developed by Dan Murphy at MIT.
tex,742,"TeX is a typesetting system, where the output is defined by command-sequences. Note that https://tex.stackexchange.com is specifically dedicated to TeX questions."
tie,80,Perl command to hide an object class in a simple variable.
tom,3,A syntax extension preprocessor for C-like languages facilitating manipulating tree structures and XML.
tpu,271,Use this tag for Tensor Processing Unit(TPU). TPU is an application-specific integrated circuit developed by Google.
trac,713,Trac is an enhanced wiki and issue tracking system for software development projects. Trac uses a minimalistic approach to web-based software project management.
ttcn,18,TTCN is a generic language for test case specification. It's used a lot for telecommunication testing.
turing,432,"A Turing machine is an idealized model of computation consisting of a finite-state control, an infinite tape holding information, and a read head positioned somewhere over the tape.  Turing machines are used in computability theory to reason about the limits of computation, to provide a formal definition for an algorithm, and to provide formal models for nondeterminism."
typescript,129692,"TypeScript is a statically typed superset of JavaScript created by Microsoft that adds optional types, classes, interfaces, enums, generics, async/await, and many other features, and compiles to plain JavaScript. This tag is for questions specific to TypeScript. It is not used for general JavaScript questions."
umple,3,"Umple is a textual language for writing models and generating code using abstractions such as associations, state machines and composite structure.  Developers can embed models in languages such as Java, PhP and C++. Use this tag for questions referring to the Umple language or Umple tools such as the compiler and Eclipse plugin."
uniface,3,Uniface is a RAD development environment for database centric applications.
unity,57686,Unity is a cross-platform game engine with a built-in IDE developed by Unity Technologies.
unrealscript,75,Script language used for Unreal Tournament games and the Unreal Development Kit. Called uscript for short.
vala,894,"Vala is an object-oriented programming language that allows modern programming techniques to be used to write applications that run on the GNOME runtime libraries, particularly GLib and GObject. Vala is syntactically similar to C#, and is compiled to C which is then compiled to a native binary using the C compiler of the platform."
verilog,4938,"Verilog is a hardware description language (HDL) used to model electronic systems. It is most commonly used in the design, verification, and implementation of digital logic chips."
vhdl,5240,VHDL (VHSIC Hardware Description Language) is a language used in electronic design to describe digital systems such as FPGA (field-programmable gate arrays) and IC (integrated circuits).
viper,92,"(1) VIPER is an architectural application design pattern, which stands for View, Interactor, Presenter, Entity, and Router. VIPER is intended to divide app’s logical structure into distinct layers of responsibility. It attempts to observe SOLID design patterns in the best way so as to keep code easily maintainable, clean, reusable and testable.     (2) Viper is also a Vi emulation package for Emacs"
visual-foxpro,1108,"Questions tagged with Visual Foxpro should be specifically about the Windows based versions of Foxpro, from 3.0 through the final 9.0 version. Earlier versions, and the versions for the Mac and SCO Unix are not ""Visual"", and shouldn't be tagged as such, nor should the tag Foxpro be included on questions about Visual Foxpro."
visual-prolog,59,Visual Prolog is a strongly-typed object-oriented extension of Prolog. Previous releases of Visual Prolog were known as Turbo Prolog (by Borland) and PDC Prolog. An interesting feature of the Visual Prolog is an ability to create applications with Microsoft Windows GUI. Recent versions introduced anonymous predicates and generics.
webdna,3,"WebDNA is a server-side scripting, interpreted language with an embedded database system, specifically designed for the World Wide Web."
webassembly,1274,"WebAssembly (abbreviated Wasm) is a new portable, size- and load-time-efficient format suitable for compilation to the web."
winbatch,48959,"A batch file is a text file containing a series of commands that are executed by the command interpreter on MS-DOS, IBM OS/2, or Microsoft Windows systems."
wolfram-language,65,"Wolfram Language is a knowledge based, multi-paradigm programming language. In a first approximation, the Wolfram Language = Mathematica + Wolfram|Alpha + Cloud + more. It's compatible with Mathematica, but it's a significant evolution, including knowledge, deployment and many new ideas."
x++,1273,"X++ is the development language used by Microsoft Dynamics AX.   It belongs to the curly brackets and dot-operator class of programming languages (like C# or Java). It is an object-oriented, class-based, single dispatch language. X++ supports garbage collection, and SQL queries are integrated into the language."
x10,20,X10 is a home automation protocol that primarily works by communicating over the power line.
xbase,72,(A) Xbase is a structured format for storing data in files and indexes. It was used originally by foxPro and dBase. (B) Xbase is an expression language provided by Xtext.
xbl,81,"XBL is a declarative XML language which implements the publish/subscribe pattern. It is used to build extension for XUL applications, including the Firefox browser and the Komodo editor."
xojo,106,"Xojo is a cross-platform development tool that creates apps for Windows, OS X, Linux and the web."
xquery,4625,"XQuery is a functional language designed to query and manipulate XML data. It is a superset of XPath, to which it adds features such as the creation of new nodes and more powerful FLWOR expressions. Although it shares its data model with XSLT, XQuery is optimized for querying rather than transforming data, and as such it has a different design inspired by SQL."
xsb,33,"XSB is a Prolog dialect developed at Stony Brook University in collaboration with the Katholieke Universiteit Leuven, the New University of Lisbon, Uppsala University and software vendor XSB, Inc."
xslt,34939,"XSLT is a transformation language for XML designed to transform structured documents into other formats (such as XML, HTML, and plain text, or, in XSLT 3, JSON). Questions should use one of the xslt-1.0, xslt-2.0, or xslt-3.0 tags as appropriate."
xtend,395,Xtend is a statically typed programming language that transcompiles to Java. It aims to produce more readable code than traditional Java.
yaml,9400,"Use this tag for questions about the YAML data serialization format only, not for questions about programs (or examples) that happen to have their configuration in a YAML format. Questions about the CSS framework also called YAML should be tagged [yaml-css] instead."
yorick,1,"Yorick is an interpreted programming language designed for numerics, graph plotting, and steering large scientific simulation codes."
yql,816,"The Yahoo! Query Language was an expressive SQL-like language that lets you query, filter, and join data across Web services."
yui,1797,"A set of utilities and controls, created  by Yahoo in JavaScript and CSS, for building richly interactive web applications using techniques such as DOM scripting, DHTML and AJAX"
z-notation,29,Use this tag with the Z notation /ˈzɛd/ which is a formal specification language used for describing and modelling computing systems.
zig,23,"Zig is an open-source programming language designed for robustness, optimality, and clarity."
zpl,483,"ZPL stands for the ""Zebra Programming Language"" and is a proprietary programming language used to communicate to Zebra branded printers."
